paymentId;globalPaymentId;globalRecipientId;globalRecipientIdx;globalSchemeId;amountEuro;amountNationalCurrency;year;countryPayment
1;LU1;LU3;LU3;LU1;7959.69;;2008;LU
2;LU2;LU4;LU4;LU1;14622.34;;2008;LU
3;LU3;LU5;LU5;LU1;3603.48;;2008;LU
4;LU4;LU6;LU6;LU1;22284.37;;2008;LU
5;LU5;LU7;LU7;LU1;29956.06;;2008;LU
6;LU6;LU8;LU8;LU1;9136.44;;2008;LU
7;LU7;LU9;LU9;LU1;1629.2;;2008;LU
8;LU8;LU10;LU10;LU1;30424.76;;2008;LU
9;LU9;LU11;LU11;LU1;25427.87;;2008;LU
10;LU10;LU12;LU12;LU1;7384.82;;2008;LU
11;LU11;LU13;LU13;LU1;932.03;;2008;LU
12;LU12;LU14;LU14;LU1;879.45;;2008;LU
13;LU13;LU15;LU15;LU1;90568.32;;2008;LU
14;LU14;LU17;LU17;LU1;72337.81;;2008;LU
15;LU15;LU18;LU18;LU1;494.03;;2008;LU
16;LU16;LU19;LU19;LU1;21678.68;;2008;LU
17;LU17;LU20;LU20;LU1;21063.32;;2008;LU
18;LU18;LU21;LU21;LU1;3385.48;;2008;LU
19;LU19;LU22;LU22;LU1;31644.18;;2008;LU
20;LU20;LU23;LU23;LU1;15548.79;;2008;LU
21;LU21;LU24;LU24;LU1;17490.39;;2008;LU
22;LU22;LU25;LU25;LU1;11769.33;;2008;LU
23;LU23;LU26;LU26;LU1;9794.34;;2008;LU
24;LU24;LU27;LU27;LU1;8644.01;;2008;LU
25;LU25;LU28;LU28;LU1;8384.83;;2008;LU
26;LU26;LU29;LU29;LU1;22748.11;;2008;LU
27;LU27;LU30;LU30;LU1;27443.43;;2008;LU
28;LU28;LU31;LU31;LU1;21339.89;;2008;LU
29;LU29;LU32;LU32;LU1;27057.01;;2008;LU
30;LU30;LU33;LU33;LU1;518.79;;2008;LU
31;LU31;LU34;LU34;LU1;14820.95;;2008;LU
32;LU32;LU35;LU35;LU1;30362.92;;2008;LU
33;LU33;LU36;LU36;LU1;29137.09;;2008;LU
34;LU34;LU37;LU37;LU1;19397.08;;2008;LU
35;LU35;LU38;LU38;LU1;23547.91;;2008;LU
36;LU36;LU39;LU39;LU1;5602.19;;2008;LU
37;LU37;LU40;LU40;LU1;2289.77;;2008;LU
38;LU38;LU41;LU41;LU1;13743.53;;2008;LU
39;LU39;LU42;LU42;LU1;1708.91;;2008;LU
40;LU40;LU43;LU43;LU1;9333.43;;2008;LU
41;LU41;LU44;LU44;LU1;794.47;;2008;LU
42;LU42;LU46;LU46;LU1;15637.08;;2008;LU
43;LU43;LU47;LU47;LU1;11914.63;;2008;LU
44;LU44;LU48;LU48;LU1;10000.51;;2008;LU
45;LU45;LU49;LU49;LU1;17610.47;;2008;LU
46;LU46;LU50;LU50;LU1;1824.17;;2008;LU
47;LU47;LU51;LU51;LU1;45101.15;;2008;LU
48;LU48;LU52;LU52;LU1;17940.83;;2008;LU
49;LU49;LU53;LU53;LU1;10704.13;;2008;LU
50;LU50;LU54;LU54;LU1;71582.16;;2008;LU
51;LU51;LU55;LU55;LU1;11022.71;;2008;LU
52;LU52;LU56;LU56;LU1;8174.89;;2008;LU
53;LU53;LU57;LU57;LU1;23228.79;;2008;LU
